Kabupaten_Kota,Pendidikan,Jumlah,Peringkat
"ADM. KEPULAUAN SERIBU","Tamat SD/Sederajat",3550,1
"ADM. KEPULAUAN SERIBU",SLTA/Sederajat,2760,2
"ADM. KEPULAUAN SERIBU",SLTP/Sederajat,1359,3
"ADM. KEPULAUAN SERIBU","Diploma IV/Strata I",590,4
"ADM. KEPULAUAN SERIBU","Akademi/Diploma III/S. Muda",112,5
"JAKARTA BARAT",SLTA/Sederajat,388568,1
"JAKARTA BARAT",SLTP/Sederajat,139931,2
"JAKARTA BARAT","Tamat SD/Sederajat",120043,3
"JAKARTA BARAT","Diploma IV/Strata I",113859,4
"JAKARTA BARAT","Akademi/Diploma III/S. Muda",26500,5
"JAKARTA PUSAT",SLTA/Sederajat,194334,1
"JAKARTA PUSAT","Diploma IV/Strata I",57574,2
"JAKARTA PUSAT",SLTP/Sederajat,55907,3
"JAKARTA PUSAT","Tamat SD/Sederajat",49781,4
"JAKARTA PUSAT","Akademi/Diploma III/S. Muda",19297,5
"JAKARTA SELATAN",SLTA/Sederajat,352819,1
"JAKARTA SELATAN","Diploma IV/Strata I",153432,2
"JAKARTA SELATAN",SLTP/Sederajat,85269,3
"JAKARTA SELATAN","Tamat SD/Sederajat",84984,4
"JAKARTA SELATAN","Akademi/Diploma III/S. Muda",46918,5
"JAKARTA TIMUR",SLTA/Sederajat,520817,1
"JAKARTA TIMUR","Diploma IV/Strata I",175065,2
"JAKARTA TIMUR",SLTP/Sederajat,126556,3
"JAKARTA TIMUR","Tamat SD/Sederajat",118190,4
"JAKARTA TIMUR","Akademi/Diploma III/S. Muda",56987,5
"JAKARTA UTARA",SLTA/Sederajat,301805,1
"JAKARTA UTARA",SLTP/Sederajat,106247,2
"JAKARTA UTARA","Tamat SD/Sederajat",87614,3
"JAKARTA UTARA","Diploma IV/Strata I",70337,4
"JAKARTA UTARA","Akademi/Diploma III/S. Muda",21622,5
