Kabupaten_Kota,Pekerjaan,Jumlah,Peringkat
"ADM. KEPULAUAN SERIBU",Nelayan/Perikanan,3824,1
"ADM. KEPULAUAN SERIBU","Mengurus Rumah Tangga",1132,2
"ADM. KEPULAUAN SERIBU","Karyawan Swasta",792,3
"ADM. KEPULAUAN SERIBU","Karyawan Honorer",731,4
"ADM. KEPULAUAN SERIBU",Wiraswasta,723,5
"JAKARTA BARAT","Karyawan Swasta",450422,1
"JAKARTA BARAT",Wiraswasta,144672,2
"JAKARTA BARAT","Mengurus Rumah Tangga",106799,3
"JAKARTA BARAT","Buruh Harian Lepas",39293,4
"JAKARTA BARAT",Pedagang,15138,5
"JAKARTA PUSAT","Karyawan Swasta",182080,1
"JAKARTA PUSAT",Wiraswasta,67416,2
"JAKARTA PUSAT","Mengurus Rumah Tangga",59758,3
"JAKARTA PUSAT","Buruh Harian Lepas",22739,4
"JAKARTA PUSAT",Pedagang,11633,5
"JAKARTA SELATAN","Karyawan Swasta",395830,1
"JAKARTA SELATAN",Wiraswasta,127803,2
"JAKARTA SELATAN","Mengurus Rumah Tangga",96925,3
"JAKARTA SELATAN","Buruh Harian Lepas",27581,4
"JAKARTA SELATAN","Pegawai Negeri Sipil",21915,5
"JAKARTA TIMUR","Karyawan Swasta",485920,1
"JAKARTA TIMUR",Wiraswasta,190832,2
"JAKARTA TIMUR","Mengurus Rumah Tangga",128799,3
"JAKARTA TIMUR","Buruh Harian Lepas",49166,4
"JAKARTA TIMUR","Pegawai Negeri Sipil",31219,5
"JAKARTA UTARA","Karyawan Swasta",279605,1
"JAKARTA UTARA",Wiraswasta,106629,2
"JAKARTA UTARA","Mengurus Rumah Tangga",83311,3
"JAKARTA UTARA","Buruh Harian Lepas",51662,4
"JAKARTA UTARA",Pedagang,13172,5
